45,1,3,41
108,1,1,41
15,1,3,44
67,1,3,42
153,1,3,40
51,1,1,42
164,1,3,46
133,1,3,40
2,1,3,33
53,1,3,46
1,1,3,40
128,0,2,38
16,1,3,44
106,1,3,37
89,1,3,40
134,1,1,39
19,1,1,43
145,0,3,38
11,1,2,45
117,0,3,39
109,1,1,42
12,1,3,45
37,1,3,40
69,0,3,40
43,1,2,43
196,1,2,49
36,1,1,44
155,1,1,46
6,0,2,46
4,1,2,41
25,0,1,42
107,0,3,47
5,1,2,43
47,1,2,49
140,1,3,40
22,1,3,39
18,1,3,49
30,0,2,42
40,0,1,43
176,0,2,41
126,0,1,57
197,0,2,50
46,0,2,44
49,0,3,39
8,0,2,52
124,1,3,41
13,0,3,39
111,0,1,39
142,0,3,52
193,1,2,48
105,3,2,45
58,2,3,40
129,3,1,46
38,3,2,50
182,0,2,43
115,0,1,43
14,1,2,54
175,1,1,42
44,2,3,45
86,2,1,54
72,3,3,47
41,1,2,45
191,0,2,43
138,1,3,40
9,0,3,52
151,1,3,52
119,0,1,45
55,1,2,49
73,1,2,53
28,0,1,54
90,2,2,50
17,0,2,48
102,0,2,51
70,0,1,41
148,1,3,51
54,0,1,46
42,0,3,55
87,0,1,46
21,2,1,61
181,1,2,45
165,1,3,54
78,1,2,54
76,1,2,51
29,0,1,49
91,1,3,56
52,2,2,53
10,1,1,49
85,3,1,57
50,0,1,42
56,1,3,46
64,1,3,45
130,1,1,55
141,1,3,47
74,0,2,50
83,1,3,41
31,0,1,52
172,1,2,57
184,1,3,53
75,1,3,51
187,1,1,57
